set N0 := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky NYCA-sky KULM-sky ISTA-sky ;
set N := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky KULM-sky ISTA-sky ;
set T := 2021-01-01 2021-01-02 2021-01-03 2021-01-04 2021-01-05 2021-01-06 2021-01-07 2021-01-08 2021-01-09 2021-01-10 2021-01-11 2021-01-12 2021-01-13 2021-01-14 2021-01-15 2021-01-16 2021-01-17 2021-01-18 2021-01-19 2021-01-20 2021-01-21 2021-01-22 2021-01-23 2021-01-24 2021-01-25 2021-01-26 2021-01-27 2021-01-28 2021-01-29 2021-01-30 2021-01-31 ;
param c :=
HKGA-sky BKKT-sky 2021-01-03 114.0
HKGA-sky BKKT-sky 2021-01-06 135.0
HKGA-sky BKKT-sky 2021-01-08 114.0
HKGA-sky BKKT-sky 2021-01-10 102.0
HKGA-sky BKKT-sky 2021-01-13 108.0
HKGA-sky BKKT-sky 2021-01-15 120.0
HKGA-sky BKKT-sky 2021-01-20 89.0
HKGA-sky BKKT-sky 2021-01-29 91.0
HKGA-sky LOND-sky 2021-01-01 532.0
HKGA-sky LOND-sky 2021-01-02 578.0
HKGA-sky LOND-sky 2021-01-03 526.0
HKGA-sky LOND-sky 2021-01-04 346.0
HKGA-sky LOND-sky 2021-01-05 283.0
HKGA-sky LOND-sky 2021-01-06 386.0
HKGA-sky LOND-sky 2021-01-07 283.0
HKGA-sky LOND-sky 2021-01-08 346.0
HKGA-sky LOND-sky 2021-01-09 437.0
HKGA-sky LOND-sky 2021-01-10 437.0
HKGA-sky LOND-sky 2021-01-11 309.0
HKGA-sky LOND-sky 2021-01-12 309.0
HKGA-sky LOND-sky 2021-01-13 309.0
HKGA-sky LOND-sky 2021-01-14 309.0
HKGA-sky LOND-sky 2021-01-15 300.0
HKGA-sky LOND-sky 2021-01-16 335.0
HKGA-sky LOND-sky 2021-01-17 300.0
HKGA-sky LOND-sky 2021-01-18 309.0
HKGA-sky LOND-sky 2021-01-19 309.0
HKGA-sky LOND-sky 2021-01-20 309.0
HKGA-sky LOND-sky 2021-01-21 310.0
HKGA-sky LOND-sky 2021-01-22 298.0
HKGA-sky LOND-sky 2021-01-23 335.0
HKGA-sky LOND-sky 2021-01-24 299.0
HKGA-sky LOND-sky 2021-01-25 309.0
HKGA-sky LOND-sky 2021-01-26 309.0
HKGA-sky LOND-sky 2021-01-27 355.0
HKGA-sky LOND-sky 2021-01-28 438.0
HKGA-sky LOND-sky 2021-01-29 298.0
HKGA-sky LOND-sky 2021-01-30 384.0
HKGA-sky LOND-sky 2021-01-31 299.0
HKGA-sky SINS-sky 2021-01-01 191.0
HKGA-sky SINS-sky 2021-01-02 169.0
HKGA-sky SINS-sky 2021-01-03 159.0
HKGA-sky SINS-sky 2021-01-04 149.0
HKGA-sky SINS-sky 2021-01-05 158.0
HKGA-sky SINS-sky 2021-01-06 158.0
HKGA-sky SINS-sky 2021-01-07 149.0
HKGA-sky SINS-sky 2021-01-08 149.0
HKGA-sky SINS-sky 2021-01-09 158.0
HKGA-sky SINS-sky 2021-01-10 149.0
HKGA-sky SINS-sky 2021-01-11 158.0
HKGA-sky SINS-sky 2021-01-12 149.0
HKGA-sky SINS-sky 2021-01-13 149.0
HKGA-sky SINS-sky 2021-01-14 158.0
HKGA-sky SINS-sky 2021-01-17 162.0
HKGA-sky SINS-sky 2021-01-19 149.0
HKGA-sky SINS-sky 2021-01-20 158.0
HKGA-sky SINS-sky 2021-01-21 156.0
HKGA-sky SINS-sky 2021-01-22 158.0
HKGA-sky SINS-sky 2021-01-24 158.0
HKGA-sky SINS-sky 2021-01-25 149.0
HKGA-sky SINS-sky 2021-01-26 156.0
HKGA-sky SINS-sky 2021-01-27 176.0
HKGA-sky SINS-sky 2021-01-29 149.0
HKGA-sky SINS-sky 2021-01-30 149.0
HKGA-sky SINS-sky 2021-01-31 149.0
HKGA-sky PARI-sky 2021-01-02 539.0
HKGA-sky PARI-sky 2021-01-04 446.0
HKGA-sky PARI-sky 2021-01-09 400.0
HKGA-sky PARI-sky 2021-01-10 401.0
HKGA-sky PARI-sky 2021-01-12 400.0
HKGA-sky PARI-sky 2021-01-15 369.0
HKGA-sky PARI-sky 2021-01-17 370.0
HKGA-sky PARI-sky 2021-01-20 369.0
HKGA-sky DXBA-sky 2021-01-01 407.0
HKGA-sky DXBA-sky 2021-01-02 395.0
HKGA-sky DXBA-sky 2021-01-03 356.0
HKGA-sky DXBA-sky 2021-01-04 407.0
HKGA-sky DXBA-sky 2021-01-05 424.0
HKGA-sky DXBA-sky 2021-01-06 407.0
HKGA-sky DXBA-sky 2021-01-07 275.0
HKGA-sky DXBA-sky 2021-01-08 407.0
HKGA-sky DXBA-sky 2021-01-09 275.0
HKGA-sky DXBA-sky 2021-01-10 325.0
HKGA-sky DXBA-sky 2021-01-11 352.0
HKGA-sky DXBA-sky 2021-01-12 322.0
HKGA-sky DXBA-sky 2021-01-13 352.0
HKGA-sky DXBA-sky 2021-01-14 322.0
HKGA-sky DXBA-sky 2021-01-15 352.0
HKGA-sky DXBA-sky 2021-01-18 363.0
