set N0 := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky NYCA-sky KULM-sky ISTA-sky ;
set N := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky KULM-sky ISTA-sky ;
set T := 2021-01-01 2021-01-02 2021-01-03 2021-01-04 2021-01-05 2021-01-06 2021-01-07 2021-01-08 2021-01-09 2021-01-10 2021-01-11 2021-01-12 2021-01-13 2021-01-14 2021-01-15 2021-01-16 2021-01-17 2021-01-18 2021-01-19 2021-01-20 2021-01-21 2021-01-22 2021-01-23 2021-01-24 2021-01-25 ;
param c :=
HKGA-sky BKKT-sky 2021-01-01 114
HKGA-sky BKKT-sky 2021-01-02 89
HKGA-sky BKKT-sky 2021-01-03 114
HKGA-sky BKKT-sky 2021-01-04 91
HKGA-sky BKKT-sky 2021-01-05 2147483647
HKGA-sky BKKT-sky 2021-01-06 162
HKGA-sky BKKT-sky 2021-01-07 2147483647
HKGA-sky BKKT-sky 2021-01-08 114
HKGA-sky BKKT-sky 2021-01-09 2147483647
HKGA-sky BKKT-sky 2021-01-10 144
HKGA-sky BKKT-sky 2021-01-11 2147483647
HKGA-sky BKKT-sky 2021-01-12 162
HKGA-sky BKKT-sky 2021-01-13 103
HKGA-sky BKKT-sky 2021-01-14 2147483647
HKGA-sky BKKT-sky 2021-01-15 2147483647
HKGA-sky BKKT-sky 2021-01-16 2147483647
HKGA-sky BKKT-sky 2021-01-17 2147483647
HKGA-sky BKKT-sky 2021-01-18 89
HKGA-sky BKKT-sky 2021-01-19 2147483647
HKGA-sky BKKT-sky 2021-01-20 88
HKGA-sky BKKT-sky 2021-01-21 2147483647
HKGA-sky BKKT-sky 2021-01-22 2147483647
HKGA-sky BKKT-sky 2021-01-23 162
HKGA-sky BKKT-sky 2021-01-24 2147483647
HKGA-sky BKKT-sky 2021-01-25 2147483647
HKGA-sky LOND-sky 2021-01-01 511
HKGA-sky LOND-sky 2021-01-02 341
HKGA-sky LOND-sky 2021-01-03 476
HKGA-sky LOND-sky 2021-01-04 372
HKGA-sky LOND-sky 2021-01-05 428
HKGA-sky LOND-sky 2021-01-06 391
HKGA-sky LOND-sky 2021-01-07 322
HKGA-sky LOND-sky 2021-01-08 422
HKGA-sky LOND-sky 2021-01-09 323
HKGA-sky LOND-sky 2021-01-10 432
HKGA-sky LOND-sky 2021-01-11 322
HKGA-sky LOND-sky 2021-01-12 310
HKGA-sky LOND-sky 2021-01-13 310
HKGA-sky LOND-sky 2021-01-14 310
HKGA-sky LOND-sky 2021-01-15 298
HKGA-sky LOND-sky 2021-01-16 592
HKGA-sky LOND-sky 2021-01-17 299
