destination,origin,outbound_date,quote
BKKT-sky,HKGA-sky,2021-01-01,
BKKT-sky,HKGA-sky,2021-01-02,
BKKT-sky,HKGA-sky,2021-01-03,114
BKKT-sky,HKGA-sky,2021-01-04,
BKKT-sky,HKGA-sky,2021-01-05,
BKKT-sky,HKGA-sky,2021-01-06,135
BKKT-sky,HKGA-sky,2021-01-07,
BKKT-sky,HKGA-sky,2021-01-08,114
BKKT-sky,HKGA-sky,2021-01-09,
BKKT-sky,HKGA-sky,2021-01-10,102
BKKT-sky,HKGA-sky,2021-01-11,
BKKT-sky,HKGA-sky,2021-01-12,
BKKT-sky,HKGA-sky,2021-01-13,108
BKKT-sky,HKGA-sky,2021-01-14,
BKKT-sky,HKGA-sky,2021-01-15,120
BKKT-sky,HKGA-sky,2021-01-16,
BKKT-sky,HKGA-sky,2021-01-17,
BKKT-sky,HKGA-sky,2021-01-18,
BKKT-sky,HKGA-sky,2021-01-19,
BKKT-sky,HKGA-sky,2021-01-20,89
BKKT-sky,HKGA-sky,2021-01-21,
BKKT-sky,HKGA-sky,2021-01-22,
BKKT-sky,HKGA-sky,2021-01-23,
BKKT-sky,HKGA-sky,2021-01-24,
BKKT-sky,HKGA-sky,2021-01-25,
BKKT-sky,HKGA-sky,2021-01-26,
BKKT-sky,HKGA-sky,2021-01-27,
BKKT-sky,HKGA-sky,2021-01-28,
BKKT-sky,HKGA-sky,2021-01-29,91
BKKT-sky,HKGA-sky,2021-01-30,
BKKT-sky,HKGA-sky,2021-01-31,
LOND-sky,HKGA-sky,2021-01-01,532
LOND-sky,HKGA-sky,2021-01-02,578
LOND-sky,HKGA-sky,2021-01-03,526
LOND-sky,HKGA-sky,2021-01-04,346
LOND-sky,HKGA-sky,2021-01-05,283
LOND-sky,HKGA-sky,2021-01-06,386
LOND-sky,HKGA-sky,2021-01-07,283
LOND-sky,HKGA-sky,2021-01-08,346
LOND-sky,HKGA-sky,2021-01-09,437
LOND-sky,HKGA-sky,2021-01-10,437
LOND-sky,HKGA-sky,2021-01-11,309
LOND-sky,HKGA-sky,2021-01-12,309
LOND-sky,HKGA-sky,2021-01-13,309
LOND-sky,HKGA-sky,2021-01-14,309
LOND-sky,HKGA-sky,2021-01-15,300
LOND-sky,HKGA-sky,2021-01-16,335
LOND-sky,HKGA-sky,2021-01-17,300
LOND-sky,HKGA-sky,2021-01-18,309
LOND-sky,HKGA-sky,2021-01-19,309
LOND-sky,HKGA-sky,2021-01-20,309
LOND-sky,HKGA-sky,2021-01-21,310
LOND-sky,HKGA-sky,2021-01-22,298
LOND-sky,HKGA-sky,2021-01-23,335
LOND-sky,HKGA-sky,2021-01-24,299
LOND-sky,HKGA-sky,2021-01-25,309
LOND-sky,HKGA-sky,2021-01-26,309
LOND-sky,HKGA-sky,2021-01-27,355
