origin,destination,outbound_date,quote
HKGA-sky,BKKT-sky,2021-01-01,114.0
HKGA-sky,BKKT-sky,2021-01-02,89.0
HKGA-sky,BKKT-sky,2021-01-03,114.0
HKGA-sky,BKKT-sky,2021-01-04,91.0
HKGA-sky,BKKT-sky,2021-01-05,2147483647.0
HKGA-sky,BKKT-sky,2021-01-06,162.0
HKGA-sky,BKKT-sky,2021-01-07,2147483647.0
HKGA-sky,BKKT-sky,2021-01-08,114.0
HKGA-sky,BKKT-sky,2021-01-09,2147483647.0
HKGA-sky,BKKT-sky,2021-01-10,144.0
HKGA-sky,BKKT-sky,2021-01-11,2147483647.0
HKGA-sky,BKKT-sky,2021-01-12,162.0
HKGA-sky,BKKT-sky,2021-01-13,103.0
HKGA-sky,BKKT-sky,2021-01-14,2147483647.0
HKGA-sky,BKKT-sky,2021-01-15,2147483647.0
HKGA-sky,BKKT-sky,2021-01-16,2147483647.0
HKGA-sky,BKKT-sky,2021-01-17,2147483647.0
HKGA-sky,BKKT-sky,2021-01-18,89.0
HKGA-sky,BKKT-sky,2021-01-19,2147483647.0
HKGA-sky,BKKT-sky,2021-01-20,88.0
HKGA-sky,BKKT-sky,2021-01-21,2147483647.0
HKGA-sky,BKKT-sky,2021-01-22,2147483647.0
HKGA-sky,BKKT-sky,2021-01-23,162.0
HKGA-sky,BKKT-sky,2021-01-24,2147483647.0
HKGA-sky,BKKT-sky,2021-01-25,2147483647.0
HKGA-sky,BKKT-sky,2021-01-26,187.0
HKGA-sky,BKKT-sky,2021-01-27,2147483647.0
HKGA-sky,BKKT-sky,2021-01-28,2147483647.0
HKGA-sky,BKKT-sky,2021-01-29,91.0
HKGA-sky,BKKT-sky,2021-01-30,89.0
HKGA-sky,BKKT-sky,2021-01-31,89.0
HKGA-sky,BKKT-sky,2021-02-01,2147483647.0
HKGA-sky,BKKT-sky,2021-02-02,88.0
HKGA-sky,BKKT-sky,2021-02-03,2147483647.0
HKGA-sky,BKKT-sky,2021-02-04,2147483647.0
HKGA-sky,BKKT-sky,2021-02-05,104.0
HKGA-sky,BKKT-sky,2021-02-06,2147483647.0
HKGA-sky,BKKT-sky,2021-02-07,2147483647.0
